movie_title,voice-actor,character,release_date,genre,MPAA_rating,revenue,director
Tarzan,"['Nigel Hawthorne' 'Brian Blessed' 'Minnie Driver' 'Glenn Close' 'Lance Henriksen' 'Jason Marsden' 'Wayne Knight' 'Tony Goldwyn' 'Alex D. Linz' ""Rosie O'Donnell""]",['Archimedes Q. Porter' 'Clayton' 'Jane Porter' 'Kala' 'Kerchak' 'Mungo' 'Tantor' 'Tarzan' 'Tarzan' 'Terk'],1999,Adventure,G,283900254,Chris Buck
Ten Things I Hate About You,"['Nigel Hawthorne' 'Brian Blessed' 'Minnie Driver' 'Glenn Close' 'Lance Henriksen' 'Jason Marsden' 'Wayne Knight' 'Tony Goldwyn' 'Alex D. Linz' ""Rosie O'Donnell""]",['Archimedes Q. Porter' 'Clayton' 'Jane Porter' 'Kala' 'Kerchak' 'Mungo' 'Tantor' 'Tarzan' 'Tarzan' 'Terk'],1999,Romantic Comedy,PG-13,63354375,Chris Buck
Summer of Sam,"['Nigel Hawthorne' 'Brian Blessed' 'Minnie Driver' 'Glenn Close' 'Lance Henriksen' 'Jason Marsden' 'Wayne Knight' 'Tony Goldwyn' 'Alex D. Linz' ""Rosie O'Donnell""]",['Archimedes Q. Porter' 'Clayton' 'Jane Porter' 'Kala' 'Kerchak' 'Mungo' 'Tantor' 'Tarzan' 'Tarzan' 'Terk'],1999,Drama,R,32007656,Chris Buck
The Insider,"['Nigel Hawthorne' 'Brian Blessed' 'Minnie Driver' 'Glenn Close' 'Lance Henriksen' 'Jason Marsden' 'Wayne Knight' 'Tony Goldwyn' 'Alex D. Linz' ""Rosie O'Donnell""]",['Archimedes Q. Porter' 'Clayton' 'Jane Porter' 'Kala' 'Kerchak' 'Mungo' 'Tantor' 'Tarzan' 'Tarzan' 'Terk'],1999,Drama,R,47794214,Chris Buck
Deuce Bigalow: Male Gigolo,"['Nigel Hawthorne' 'Brian Blessed' 'Minnie Driver' 'Glenn Close' 'Lance Henriksen' 'Jason Marsden' 'Wayne Knight' 'Tony Goldwyn' 'Alex D. Linz' ""Rosie O'Donnell""]",['Archimedes Q. Porter' 'Clayton' 'Jane Porter' 'Kala' 'Kerchak' 'Mungo' 'Tantor' 'Tarzan' 'Tarzan' 'Terk'],1999,Comedy,R,106921374,Chris Buck
Inspector Gadget,"['Nigel Hawthorne' 'Brian Blessed' 'Minnie Driver' 'Glenn Close' 'Lance Henriksen' 'Jason Marsden' 'Wayne Knight' 'Tony Goldwyn' 'Alex D. Linz' ""Rosie O'Donnell""]",['Archimedes Q. Porter' 'Clayton' 'Jane Porter' 'Kala' 'Kerchak' 'Mungo' 'Tantor' 'Tarzan' 'Tarzan' 'Terk'],1999,Comedy,PG,161610341,Chris Buck
Instinct,"['Nigel Hawthorne' 'Brian Blessed' 'Minnie Driver' 'Glenn Close' 'Lance Henriksen' 'Jason Marsden' 'Wayne Knight' 'Tony Goldwyn' 'Alex D. Linz' ""Rosie O'Donnell""]",['Archimedes Q. Porter' 'Clayton' 'Jane Porter' 'Kala' 'Kerchak' 'Mungo' 'Tantor' 'Tarzan' 'Tarzan' 'Terk'],1999,Drama,R,56595842,Chris Buck
The 13th Warrior,"['Nigel Hawthorne' 'Brian Blessed' 'Minnie Driver' 'Glenn Close' 'Lance Henriksen' 'Jason Marsden' 'Wayne Knight' 'Tony Goldwyn' 'Alex D. Linz' ""Rosie O'Donnell""]",['Archimedes Q. Porter' 'Clayton' 'Jane Porter' 'Kala' 'Kerchak' 'Mungo' 'Tantor' 'Tarzan' 'Tarzan' 'Terk'],1999,Action,R,54262148,Chris Buck
Toy Story 2,"['Nigel Hawthorne' 'Brian Blessed' 'Minnie Driver' 'Glenn Close' 'Lance Henriksen' 'Jason Marsden' 'Wayne Knight' 'Tony Goldwyn' 'Alex D. Linz' ""Rosie O'Donnell""]",['Archimedes Q. Porter' 'Clayton' 'Jane Porter' 'Kala' 'Kerchak' 'Mungo' 'Tantor' 'Tarzan' 'Tarzan' 'Terk'],1999,Adventure,G,404450426,Chris Buck
The Straight Story,"['Nigel Hawthorne' 'Brian Blessed' 'Minnie Driver' 'Glenn Close' 'Lance Henriksen' 'Jason Marsden' 'Wayne Knight' 'Tony Goldwyn' 'Alex D. Linz' ""Rosie O'Donnell""]",['Archimedes Q. Porter' 'Clayton' 'Jane Porter' 'Kala' 'Kerchak' 'Mungo' 'Tantor' 'Tarzan' 'Tarzan' 'Terk'],1999,Drama,G,10111144,Chris Buck
