movie_title,voice-actor,character,release_date,genre,MPAA_rating,revenue,director
101 Dalmatians: The Series,"['Kath Soucie', 'Tara Strong']","['Cadpig', 'Spot']",0,0,0,0,0
A Goofy Movie,"['Tevin Campbell', 'Wallace Shawn', 'Pauly Shore', 'Kellie Martin']","['Powerline', 'Principal Mazur', 'Robert ""Bobby"" Zimmeruski', 'Roxanne']",7-Apr-95,Comedy,G,"$68,479,579 ",0
Aladdin,"['Frank Welker', 'Scott Weinger; Brad Kane', 'Robin Williams', 'James Avery', 'Gilbert Gottfried', 'Jonathan Freeman', 'None', 'Charlie Adler', 'Jonathan Brandis', 'Linda Larkin; Lea Salonga', 'Frank Welker', 'Jim Cummings', 'Kellie Martin', 'Douglas Seale']","['Abu', 'Aladdin', 'Genie', 'Haroud Hazi Bin', 'Iago', 'Jafar', 'Magic Carpet', 'Mechanicles', 'Mozenrath', 'Princess Jasmine', 'Rajah', 'Razoul', 'Sadira', 'The Sultan']",11-Nov-92,Comedy,G,"$441,969,178 ",Ron Clements
Aladdin (TV series),"['Bebe Neuwirth', 'Frank Welker']","['Mirage', 'Xerxes']",0,0,0,0,0
Aladdin and the King of Thieves,"['John Rhys-Davies', 'Jerry Orbach']","['Cassim', ""Sa'luk""]",0,0,0,0,0
Aladdin in Nasira's Revenge,['Jodi Benson'],['Nasira'],0,0,0,0,0
Alice Solves the Puzzle,['Billy Bletcher; Jim Cummings'],['Pete'],0,0,0,0,0
Alice in Wonderland,"['Kathryn Beaumont', 'Heather Angel', 'Larry Grey', ""J. Pat O'Malley"", 'Richard Haydn', 'Sterling Holloway', 'None', 'Bill Thompson', 'Joseph Kearns', 'Jimmy MacDonald', 'Dink Trout', 'Ed Wynn', 'Jerry Colonna', 'Verna Felton', 'Doris Lloyd', ""J. Pat O'Malley"", ""J. Pat O'Malley"", 'Bill Thompson']","['Alice', ""Alice's Sister"", 'Bill the Lizard', 'The Carpenter', 'The Caterpillar', 'Cheshire Cat', 'Dinah the Cat', 'The Dodo', 'The Doorknob', 'The Dormouse', 'The King of Hearts', 'Mad Hatter', 'March Hare', 'The Queen of Hearts', 'The Rose', 'Tweedledum and Tweedledee', 'The Walrus', 'White Rabbit']",5-Mar-10,Adventure,PG,"$357,063,499 ",Clyde Geronimi
An Adventure in Color,['Paul Frees'],['Ludwig Von Drake'],0,0,0,0,0
An Extremely Goofy Movie,"['Vicki Lewis', 'Jeff Bennett', 'Bebe Neuwirth', 'Brad Garrett']","['Beret Girl', 'Bradley Uppercrust III', 'Sylvia Marpole', 'Tank']",0,0,0,0,0
Atlantis: The Lost Empire,"['Jacqueline Obradors', 'James Garner', 'Jim Varney', 'Phil Morris', 'David Ogden Stiers', 'Corey Burton', 'Claudia Christian', 'Leonard Nimoy', 'Michael J. Fox', 'John Mahoney', 'Cree Summer', 'Don Novello', 'Florence Stanley']","['Audrey Ramirez', 'Commander Lyle Rourke', 'Cookie', 'Dr. Joshua Sweet', 'Fenton Q. Harcourt', 'Gaetan ""Mole"" Moliére', 'Helga Sinclair', 'King Kashekim Nedakh', 'Milo Thatch', 'Preston B. Whitmore', 'Princess Kidagakash', 'Vincenzo ""Vinny"" Santorini', 'Wilhelmina Packard']",8-Jun-01,Adventure,PG,"$125,188,122 ",Gary Trousdale
Bambi,"['Donnie Dunagan', 'Hardie Albright', 'Alexander Gould', 'Paula Winslowe; Carolyn Hennesy', 'Cammie King; Ann Gillis', 'Stan Alexander; Sterling Holloway', 'Will Wright', 'Fred Shields', 'None', 'Mary Lansing', 'Thelma Boardman', 'Peter Behn; Sam Edwards', 'Margaret Lee']","['Bambi', 'Bambi', 'Bambi', ""Bambi's Mother"", 'Faline', 'Flower', 'Friend Owl', 'Great Prince of the Forest', 'Man the Hunter', 'Mrs. Possum', 'Mrs. Quail', 'Thumper', ""Thumper's Mother""]",0,0,0,0,David Hand
Bambi II,"['Brian Pimental', 'Cree Summer', 'Anthony Ghannam']","['The Groundhog', 'Mena', 'Ronno']",0,0,0,0,0
Beauty and the Beast,"['Jo Anne Worley', 'Mary Kay Bergman', 'Alex Murphey', 'Robby Benson', ""Paige O'Hara"", 'Kath Soucie', 'Alvin Epstein', 'Brian Cummings', 'Bradley Michael Pierce', 'David Ogden Stiers', 'Kimmy Robertson', 'Richard White', 'Jesse Corti', 'Jerry Orbach', 'Rex Everhart', 'Tony Jay', 'Angela Lansbury', 'Hal Smith', 'Frank Welker']","['Armoire', 'Babette', 'Baker', 'Beast', 'Belle', 'Bimbette', 'Bookseller', 'Chef Bouche', 'Chip Potts', 'Cogsworth', 'Fifi the Featherduster', 'Gaston', 'Le Fou', 'Lumière', 'Maurice', ""Monsieur D'Arque"", 'Mrs. Potts', 'Philippe the Horse', 'Sultan the Footstool']",13-Nov-91,Musical,G,"$363,017,667 ",Gary Trousdale
Beauty and the Beast: The Enchanted Christmas,"['Bernadette Peters', 'Jeff Bennett', 'Kath Soucie', 'Paul Reubens', 'Tim Curry']","['Angelique', 'Axe', 'The Enchantress', 'Fife the Piccolo', 'Forte the Pipe Organ']",0,0,0,0,0
Bedknobs and Broomsticks,"['Dal McKennon', 'Robert Holt', 'Lennie Weinrib', 'Lennie Weinrib']","['Bear', 'Codfish', 'King Leonidas', 'Secretary Bird']",7-Oct-71,Musical,0,"$91,305,448 ",0
Belle's Magical World,"['April Winchell', 'Jeff Bennett', 'Rob Paulsen', 'Jim Cummings', 'None']","['Chandeleria', 'Crane', 'Le Plufme', 'Webster', 'Witherspoon']",0,0,0,0,0
Bone Trouble,['Frank Welker'],['Butch the Bulldog'],0,0,0,0,0
Bonkers,"['Jim Cummings', 'Frank Welker', 'Karla DeVito', 'Frank Welker']","['Bonkers D. Bobcat', 'Fall-Apart Rabbit', 'Miranda Wright', 'Toots']",0,0,0,0,0
Brother Bear,"['Jason Raize', 'Joaquin Phoenix', 'Jeremy Suarez', 'Rick Moranis; Dave Thomas', 'D. B. Sweeney', 'Joan Copeland', 'Michael Clarke Duncan']","['Denahi', 'Kenai', 'Koda', 'Rutt and Tuke', 'Sitka', 'Tanana', 'Tug']",24-Oct-03,Adventure,G,"$119,218,333 ",Robert Walker
Brother Bear 2,"['Andrea Martin', 'Jeff Bennett', 'Wendie Malick', 'Kathy Najimy', 'Tress MacNeille', 'Wanda Sykes', ""Catherine O'Hara"", 'Mandy Moore']","['Anda', 'Atka', 'Aunt Siqiniq', 'Aunt Taqqiq', 'Hoonah', 'Innoko', 'Kata', 'Nita']",0,0,0,0,0
Chip 'n Dale Rescue Rangers,"['Jim Cummings', 'Tress MacNeille', 'Jim Cummings', 'Jim Cummings', 'Corey Burton']","['Fat Cat', 'Gadget Hackwrench', 'Monterey Jack', 'Professor Norton Nimnul', 'Zipper']",0,0,0,0,0
