movie_title,director,release_date,genre,MPAA_rating,revenue,character,voice-actor
Snow White and the Seven Dwarfs,David Hand,21-Dec-37,Musical,G,"$5,228,953,251 ",Bashful,Scotty Mattraw
Snow White and the Seven Dwarfs,David Hand,21-Dec-37,Musical,G,"$5,228,953,251 ",Doc,Roy Atwell
Snow White and the Seven Dwarfs,David Hand,21-Dec-37,Musical,G,"$5,228,953,251 ",Dopey,Eddie Collins
Snow White and the Seven Dwarfs,David Hand,21-Dec-37,Musical,G,"$5,228,953,251 ",Grumpy,Pinto Colvig
Snow White and the Seven Dwarfs,David Hand,21-Dec-37,Musical,G,"$5,228,953,251 ",Happy,Otis Harlan
Snow White and the Seven Dwarfs,David Hand,21-Dec-37,Musical,G,"$5,228,953,251 ",Humbert the Huntsman,Stuart Buchanan
Snow White and the Seven Dwarfs,David Hand,21-Dec-37,Musical,G,"$5,228,953,251 ",The Magic Mirror,Moroni Olsen
Snow White and the Seven Dwarfs,David Hand,21-Dec-37,Musical,G,"$5,228,953,251 ",Prince,Harry Stockwell
Snow White and the Seven Dwarfs,David Hand,21-Dec-37,Musical,G,"$5,228,953,251 ",Queen Grimhilde,Lucille La Verne
Snow White and the Seven Dwarfs,David Hand,21-Dec-37,Musical,G,"$5,228,953,251 ",Sleepy,Pinto Colvig
Snow White and the Seven Dwarfs,David Hand,21-Dec-37,Musical,G,"$5,228,953,251 ",Sneezy,Billy Gilbert
Snow White and the Seven Dwarfs,David Hand,21-Dec-37,Musical,G,"$5,228,953,251 ",Snow White,Adriana Caselotti
Fantasia,full credits,13-Nov-40,Musical,G,"$2,187,090,808 ",Ben Ali Gator,Jim Cummings
Fantasia,full credits,13-Nov-40,Musical,G,"$2,187,090,808 ",Chernabog,Corey Burton
Fantasia,full credits,13-Nov-40,Musical,G,"$2,187,090,808 ",Hyacinth Hippo,Tress MacNeille
Fantasia,full credits,13-Nov-40,Musical,G,"$2,187,090,808 ",Madame Upanova,Tress MacNeille
Fantasia,full credits,13-Nov-40,Musical,G,"$2,187,090,808 ",Melinda,None
Fantasia,full credits,13-Nov-40,Musical,G,"$2,187,090,808 ",Yen Sid,Corey Burton
Dumbo,Ben Sharpsteen,,,,,Casey Junior,Margaret Wright
Dumbo,Ben Sharpsteen,,,,,Catty the Elephant,Noreen Gammill
Dumbo,Ben Sharpsteen,,,,,Circus Animals,None
Dumbo,Ben Sharpsteen,,,,,Dumbo,None
Dumbo,Ben Sharpsteen,,,,,Giddy the Elephant,Dorothy Scott
Dumbo,Ben Sharpsteen,,,,,Jim Crow,Cliff Edwards
Dumbo,Ben Sharpsteen,,,,,Mr. Stork,Sterling Holloway
Dumbo,Ben Sharpsteen,,,,,Mrs. Jumbo,Verna Felton
Dumbo,Ben Sharpsteen,,,,,Prissy the Elephant,Sarah Selby
Dumbo,Ben Sharpsteen,,,,,The Ringmaster,Herman Bing
Dumbo,Ben Sharpsteen,,,,,Timothy Q. Mouse,Edward Brophy
Bambi,David Hand,,,,,Bambi,Donnie Dunagan
Bambi,David Hand,,,,,Bambi,Hardie Albright
Bambi,David Hand,,,,,Bambi,Alexander Gould
Bambi,David Hand,,,,,Bambi's Mother,Paula Winslowe; Carolyn Hennesy
Bambi,David Hand,,,,,Faline,Cammie King; Ann Gillis
Bambi,David Hand,,,,,Flower,Stan Alexander; Sterling Holloway
Bambi,David Hand,,,,,Friend Owl,Will Wright
Bambi,David Hand,,,,,Great Prince of the Forest,Fred Shields
Bambi,David Hand,,,,,Man the Hunter,None
Bambi,David Hand,,,,,Mrs. Possum,Mary Lansing
Bambi,David Hand,,,,,Mrs. Quail,Thelma Boardman
Bambi,David Hand,,,,,Thumper,Peter Behn; Sam Edwards
Bambi,David Hand,,,,,Thumper's Mother,Margaret Lee
Saludos Amigos,Jack Kinney,,,,,José Carioca,José Oliveira; Rob Paulsen
The Three Caballeros,Norman Ferguson,,,,,Aracuan Bird,Pinto Colvig
The Three Caballeros,Norman Ferguson,,,,,Panchito Pistoles,Joaquin Garay; Carlos Alazraqui
Make Mine Music,Jack Kinney,,,,,Alice Bluebonnet,None
Fun and Fancy Free,Jack Kinney,,,,,Willie the Giant,Billy Gilbert
Melody Time,Clyde Geronimi,,,,,Johnny Appleseed,Dennis Day
Melody Time,Clyde Geronimi,,,,,Little Toot,None
The Adventures of Ichabod and Mr. Toad,Jack Kinney,,,,,Angus MacBadger,Campbell Grant
The Adventures of Ichabod and Mr. Toad,Jack Kinney,,,,,Cyril Proudbottom,J. Pat O'Malley
The Adventures of Ichabod and Mr. Toad,Jack Kinney,,,,,Headless Horseman,None
The Adventures of Ichabod and Mr. Toad,Jack Kinney,,,,,Ichabod Crane,Pinto Colvig
The Adventures of Ichabod and Mr. Toad,Jack Kinney,,,,,J. Thaddeus Toad,Eric Blore
The Adventures of Ichabod and Mr. Toad,Jack Kinney,,,,,Katrina Van Tassel,None
The Adventures of Ichabod and Mr. Toad,Jack Kinney,,,,,Moley,Colin Campbell
