movie_title,voice-actor,character
101 Dalmatians: The Series,"['Kath Soucie', 'Tara Strong']","['Cadpig', 'Spot']"
A Goofy Movie,"['Tevin Campbell', 'Wallace Shawn', 'Pauly Shore', 'Kellie Martin']","['Powerline', 'Principal Mazur', 'Robert ""Bobby"" Zimmeruski', 'Roxanne']"
Aladdin,"['Frank Welker', 'Scott Weinger; Brad Kane', 'Robin Williams', 'James Avery', 'Gilbert Gottfried', 'Jonathan Freeman', 'None', 'Charlie Adler', 'Jonathan Brandis', 'Linda Larkin; Lea Salonga', 'Frank Welker', 'Jim Cummings', 'Kellie Martin', 'Douglas Seale']","['Abu', 'Aladdin', 'Genie', 'Haroud Hazi Bin', 'Iago', 'Jafar', 'Magic Carpet', 'Mechanicles', 'Mozenrath', 'Princess Jasmine', 'Rajah', 'Razoul', 'Sadira', 'The Sultan']"
Aladdin (TV series),"['Bebe Neuwirth', 'Frank Welker']","['Mirage', 'Xerxes']"
Aladdin and the King of Thieves,"['John Rhys-Davies', 'Jerry Orbach']","['Cassim', ""Sa'luk""]"
Aladdin in Nasira's Revenge,['Jodi Benson'],['Nasira']
Alice Solves the Puzzle,['Billy Bletcher; Jim Cummings'],['Pete']
Alice in Wonderland,"['Kathryn Beaumont', 'Heather Angel', 'Larry Grey', ""J. Pat O'Malley"", 'Richard Haydn', 'Sterling Holloway', 'None', 'Bill Thompson', 'Joseph Kearns', 'Jimmy MacDonald', 'Dink Trout', 'Ed Wynn', 'Jerry Colonna', 'Verna Felton', 'Doris Lloyd', ""J. Pat O'Malley"", ""J. Pat O'Malley"", 'Bill Thompson']","['Alice', ""Alice's Sister"", 'Bill the Lizard', 'The Carpenter', 'The Caterpillar', 'Cheshire Cat', 'Dinah the Cat', 'The Dodo', 'The Doorknob', 'The Dormouse', 'The King of Hearts', 'Mad Hatter', 'March Hare', 'The Queen of Hearts', 'The Rose', 'Tweedledum and Tweedledee', 'The Walrus', 'White Rabbit']"
An Adventure in Color,['Paul Frees'],['Ludwig Von Drake']
An Extremely Goofy Movie,"['Vicki Lewis', 'Jeff Bennett', 'Bebe Neuwirth', 'Brad Garrett']","['Beret Girl', 'Bradley Uppercrust III', 'Sylvia Marpole', 'Tank']"
Atlantis: The Lost Empire,"['Jacqueline Obradors', 'James Garner', 'Jim Varney', 'Phil Morris', 'David Ogden Stiers', 'Corey Burton', 'Claudia Christian', 'Leonard Nimoy', 'Michael J. Fox', 'John Mahoney', 'Cree Summer', 'Don Novello', 'Florence Stanley']","['Audrey Ramirez', 'Commander Lyle Rourke', 'Cookie', 'Dr. Joshua Sweet', 'Fenton Q. Harcourt', 'Gaetan ""Mole"" Moliére', 'Helga Sinclair', 'King Kashekim Nedakh', 'Milo Thatch', 'Preston B. Whitmore', 'Princess Kidagakash', 'Vincenzo ""Vinny"" Santorini', 'Wilhelmina Packard']"
Bambi,"['Donnie Dunagan', 'Hardie Albright', 'Alexander Gould', 'Paula Winslowe; Carolyn Hennesy', 'Cammie King; Ann Gillis', 'Stan Alexander; Sterling Holloway', 'Will Wright', 'Fred Shields', 'None', 'Mary Lansing', 'Thelma Boardman', 'Peter Behn; Sam Edwards', 'Margaret Lee']","['Bambi', 'Bambi', 'Bambi', ""Bambi's Mother"", 'Faline', 'Flower', 'Friend Owl', 'Great Prince of the Forest', 'Man the Hunter', 'Mrs. Possum', 'Mrs. Quail', 'Thumper', ""Thumper's Mother""]"
Bambi II,"['Brian Pimental', 'Cree Summer', 'Anthony Ghannam']","['The Groundhog', 'Mena', 'Ronno']"
Beauty and the Beast,"['Jo Anne Worley', 'Mary Kay Bergman', 'Alex Murphey', 'Robby Benson', ""Paige O'Hara"", 'Kath Soucie', 'Alvin Epstein', 'Brian Cummings', 'Bradley Michael Pierce', 'David Ogden Stiers', 'Kimmy Robertson', 'Richard White', 'Jesse Corti', 'Jerry Orbach', 'Rex Everhart', 'Tony Jay', 'Angela Lansbury', 'Hal Smith', 'Frank Welker']","['Armoire', 'Babette', 'Baker', 'Beast', 'Belle', 'Bimbette', 'Bookseller', 'Chef Bouche', 'Chip Potts', 'Cogsworth', 'Fifi the Featherduster', 'Gaston', 'Le Fou', 'Lumière', 'Maurice', ""Monsieur D'Arque"", 'Mrs. Potts', 'Philippe the Horse', 'Sultan the Footstool']"
Beauty and the Beast: The Enchanted Christmas,"['Bernadette Peters', 'Jeff Bennett', 'Kath Soucie', 'Paul Reubens', 'Tim Curry']","['Angelique', 'Axe', 'The Enchantress', 'Fife the Piccolo', 'Forte the Pipe Organ']"
Bedknobs and Broomsticks,"['Dal McKennon', 'Robert Holt', 'Lennie Weinrib', 'Lennie Weinrib']","['Bear', 'Codfish', 'King Leonidas', 'Secretary Bird']"
Belle's Magical World,"['April Winchell', 'Jeff Bennett', 'Rob Paulsen', 'Jim Cummings', 'None']","['Chandeleria', 'Crane', 'Le Plufme', 'Webster', 'Witherspoon']"
Bone Trouble,['Frank Welker'],['Butch the Bulldog']
Bonkers,"['Jim Cummings', 'Frank Welker', 'Karla DeVito', 'Frank Welker']","['Bonkers D. Bobcat', 'Fall-Apart Rabbit', 'Miranda Wright', 'Toots']"
Brother Bear,"['Jason Raize', 'Joaquin Phoenix', 'Jeremy Suarez', 'Rick Moranis; Dave Thomas', 'D. B. Sweeney', 'Joan Copeland', 'Michael Clarke Duncan']","['Denahi', 'Kenai', 'Koda', 'Rutt and Tuke', 'Sitka', 'Tanana', 'Tug']"
Brother Bear 2,"['Andrea Martin', 'Jeff Bennett', 'Wendie Malick', 'Kathy Najimy', 'Tress MacNeille', 'Wanda Sykes', ""Catherine O'Hara"", 'Mandy Moore']","['Anda', 'Atka', 'Aunt Siqiniq', 'Aunt Taqqiq', 'Hoonah', 'Innoko', 'Kata', 'Nita']"
Chip 'n Dale Rescue Rangers,"['Jim Cummings', 'Tress MacNeille', 'Jim Cummings', 'Jim Cummings', 'Corey Burton']","['Fat Cat', 'Gadget Hackwrench', 'Monterey Jack', 'Professor Norton Nimnul', 'Zipper']"
Cinderella,"['Lucille Bliss', 'Jimmy MacDonald; Frank Welker', 'Ilene Woods', 'Don Barclay', 'Rhoda Williams; Russi Taylor', 'Verna Felton; Russi Taylor', 'Larry Grey', 'Luis Van Rooten; Rob Paulsen', 'Jimmy MacDonald; Corey Burton', 'Jimmy MacDonald; Rob Paulsen', 'Luis Van Rooten', 'Eleanor Audley; Susanne Blakeslee', 'June Foray', 'None', 'William Phipps']","['Anastasia Tremaine', 'Bruno the Dog', 'Cinderella', 'The Doorman', 'Drizella Tremaine', 'Fairy Godmother', 'Footman', 'The Grand Duke', 'Gus Lollygagger', 'Jackson ""Jaq"" Hopscotch', 'The King', 'Lady Tremaine', 'Lucifer the Cat', 'Major the Horse', 'Prince Charming']"
Cinderella II: Dreams Come True,"['Rob Paulsen', 'Frank Welker', 'Holland Taylor']","['Baker', 'Pom-Pom', 'Prudence']"
Darkwing Duck,"['Susan Tolsky', 'Peter Renaday', 'Tino Insana', 'Jim Cummings', 'Christine Cavanaugh', 'Jim Cummings', 'Katie Leigh', 'Danny Mann', 'Jack Angel', 'Dan Castellaneta', 'Kath Soucie', 'Jim Cummings', 'Michael Bell', 'Jennifer Darling', 'Rob Paulsen', 'Dana Hill', 'Tim Curry', 'Kenneth Mars', 'Ron Feinberg']","['Binkie Muddlefoot', 'Derek Blunt', 'Dr. Reginald Bushroot', 'Drake Mallard (Darkwing Duck)', 'Gosalyn Mallard', 'Herb Muddlefoot', 'Honker Muddlefoot', 'J. Gander Hooter', 'Liquidator !The Liquidator', 'Megavolt', 'Morgana McCawber', 'NegaDuck', 'Quackerjack', 'Rhoda Dendron', 'Steelbeak', 'Tank Muddlefoot', 'Taurus Bulba', 'Tuskernini', 'Vladimir Goudenov Grizzlikof']"
Dinosaur,"['D. B. Sweeney', 'Joan Plowright', 'Peter Siragusa', 'Della Reese', 'Samuel E. Wright', 'Julianna Margulies', 'Alfre Woodard', 'Hayden Panettiere', 'None', 'Ossie Davis', 'Max Casella']","['Aladar', 'Baylene', 'Bruton', 'Eema', 'Kron', 'Neera', 'Plio', 'Suri', 'Url', 'Yar', 'Zini']"
Disney Fairies,"['Rob Paulsen', 'Jeff Bennett', 'Jane Horrocks', 'America Ferrera', 'Raven-Symoné', 'Anjelica Huston', 'Kristin Chenoweth', 'Lucy Liu', 'Jesse McCartney', 'Pamela Adlon']","['Bobble', 'Clank', 'Fairy Mary', 'Fawn', 'Iridessa', 'Queen Clarion', 'Rosetta', 'Silvermist', 'Terence', 'Vidia']"
Donald Duck and the Gorilla,['None'],['Ajax the Gorilla']
Donald's Cousin Gus,['Clarence Nash'],['Gus Goose']
Donald's Nephews,"['Clarence Nash; Russi Taylor', 'Clarence Nash; Russi Taylor', 'Clarence Nash; Russi Taylor']","['Dewey', 'Huey', 'Louie']"
DuckTales,"['Terry McGovern', 'Danny Mann', 'None', 'Frank Welker', 'Peter Cullen', 'Joan Gerber', 'Frank Welker', 'None', 'Robert Ridgely', 'Chuck McCann', 'Brian Cummings', 'Chuck McCann', 'Richard Libertini', 'Brian Cummings', 'Chuck McCann', 'Jim Cummings', 'Hamilton Camp', 'Hal Smith', 'Rob Paulsen', 'Joan Gerber', 'Hal Smith', 'Terry McGovern', 'June Foray', 'June Foray', 'Frank Welker', 'Christopher Lloyd', 'June Foray', ""Frank Welker; John O'Hurley"", 'Terry McGovern; Frank Welker', 'Alan Young', 'Russi Taylor']","['Babyface Beagle', 'Backwoods Beagle', 'Bacon Beagle', 'Baggy Beagle', 'Bankjob Beagle', 'Bentina Beakley', 'Bigtime Beagle', 'Binky Beagle', 'Bomber Beagle', 'Bouncer Beagle', 'Bugle Beagle', 'Burger Beagle', 'Dijon the Thief', 'Doofus Drake', 'Duckworth', 'El Capitan', 'Fenton Crackshell (Gizmoduck)', 'Flintheart Glomgold', 'Gladstone Gander', 'Glittering Goldie', 'Gyro Gearloose', 'Launchpad McQuack', 'Ma Beagle', 'Magica De Spell', 'Megabyte Beagle', 'Merlock the Magician', 'Mrs. Featherby', 'The Phantom Blot', 'Poe De Spell', 'Scrooge McDuck', 'Webby Vanderquack']"
Dumbo,"['Margaret Wright', 'Noreen Gammill', 'None', 'None', 'Dorothy Scott', 'Cliff Edwards', 'Sterling Holloway', 'Verna Felton', 'Sarah Selby', 'Herman Bing', 'Edward Brophy']","['Casey Junior', 'Catty the Elephant', 'Circus Animals', 'Dumbo', 'Giddy the Elephant', 'Jim Crow', 'Mr. Stork', 'Mrs. Jumbo', 'Prissy the Elephant', 'The Ringmaster', 'Timothy Q. Mouse']"
