movie_title,character
101 Dalmatians: The Series,"['Cadpig', 'Spot']"
A Goofy Movie,"['Powerline', 'Principal Mazur', 'Robert ""Bobby"" Zimmeruski', 'Roxanne']"
Aladdin,"['Abu', 'Aladdin', 'Genie', 'Haroud Hazi Bin', 'Iago', 'Jafar', 'Magic Carpet', 'Mechanicles', 'Mozenrath', 'Princess Jasmine', 'Rajah', 'Razoul', 'Sadira', 'The Sultan']"
Aladdin (TV series),"['Mirage', 'Xerxes']"
Aladdin and the King of Thieves,"['Cassim', ""Sa'luk""]"
Aladdin in Nasira's Revenge,['Nasira']
Alice Solves the Puzzle,['Pete']
Alice in Wonderland,"['Alice', ""Alice's Sister"", 'Bill the Lizard', 'The Carpenter', 'The Caterpillar', 'Cheshire Cat', 'Dinah the Cat', 'The Dodo', 'The Doorknob', 'The Dormouse', 'The King of Hearts', 'Mad Hatter', 'March Hare', 'The Queen of Hearts', 'The Rose', 'Tweedledum and Tweedledee', 'The Walrus', 'White Rabbit']"
An Adventure in Color,['Ludwig Von Drake']
An Extremely Goofy Movie,"['Beret Girl', 'Bradley Uppercrust III', 'Sylvia Marpole', 'Tank']"
Atlantis: The Lost Empire,"['Audrey Ramirez', 'Commander Lyle Rourke', 'Cookie', 'Dr. Joshua Sweet', 'Fenton Q. Harcourt', 'Gaetan ""Mole"" Moliére', 'Helga Sinclair', 'King Kashekim Nedakh', 'Milo Thatch', 'Preston B. Whitmore', 'Princess Kidagakash', 'Vincenzo ""Vinny"" Santorini', 'Wilhelmina Packard']"
Bambi,"['Bambi', 'Bambi', 'Bambi', ""Bambi's Mother"", 'Faline', 'Flower', 'Friend Owl', 'Great Prince of the Forest', 'Man the Hunter', 'Mrs. Possum', 'Mrs. Quail', 'Thumper', ""Thumper's Mother""]"
Bambi II,"['The Groundhog', 'Mena', 'Ronno']"
Beauty and the Beast,"['Armoire', 'Babette', 'Baker', 'Beast', 'Belle', 'Bimbette', 'Bookseller', 'Chef Bouche', 'Chip Potts', 'Cogsworth', 'Fifi the Featherduster', 'Gaston', 'Le Fou', 'Lumière', 'Maurice', ""Monsieur D'Arque"", 'Mrs. Potts', 'Philippe the Horse', 'Sultan the Footstool']"
Beauty and the Beast: The Enchanted Christmas,"['Angelique', 'Axe', 'The Enchantress', 'Fife the Piccolo', 'Forte the Pipe Organ']"
Bedknobs and Broomsticks,"['Bear', 'Codfish', 'King Leonidas', 'Secretary Bird']"
Belle's Magical World,"['Chandeleria', 'Crane', 'Le Plufme', 'Webster', 'Witherspoon']"
Bone Trouble,['Butch the Bulldog']
Bonkers,"['Bonkers D. Bobcat', 'Fall-Apart Rabbit', 'Miranda Wright', 'Toots']"
Brother Bear,"['Denahi', 'Kenai', 'Koda', 'Rutt and Tuke', 'Sitka', 'Tanana', 'Tug']"
Brother Bear 2,"['Anda', 'Atka', 'Aunt Siqiniq', 'Aunt Taqqiq', 'Hoonah', 'Innoko', 'Kata', 'Nita']"
Chip 'n Dale Rescue Rangers,"['Fat Cat', 'Gadget Hackwrench', 'Monterey Jack', 'Professor Norton Nimnul', 'Zipper']"
Cinderella,"['Anastasia Tremaine', 'Bruno the Dog', 'Cinderella', 'The Doorman', 'Drizella Tremaine', 'Fairy Godmother', 'Footman', 'The Grand Duke', 'Gus Lollygagger', 'Jackson ""Jaq"" Hopscotch', 'The King', 'Lady Tremaine', 'Lucifer the Cat', 'Major the Horse', 'Prince Charming']"
Cinderella II: Dreams Come True,"['Baker', 'Pom-Pom', 'Prudence']"
Darkwing Duck,"['Binkie Muddlefoot', 'Derek Blunt', 'Dr. Reginald Bushroot', 'Drake Mallard (Darkwing Duck)', 'Gosalyn Mallard', 'Herb Muddlefoot', 'Honker Muddlefoot', 'J. Gander Hooter', 'Liquidator !The Liquidator', 'Megavolt', 'Morgana McCawber', 'NegaDuck', 'Quackerjack', 'Rhoda Dendron', 'Steelbeak', 'Tank Muddlefoot', 'Taurus Bulba', 'Tuskernini', 'Vladimir Goudenov Grizzlikof']"
Dinosaur,"['Aladar', 'Baylene', 'Bruton', 'Eema', 'Kron', 'Neera', 'Plio', 'Suri', 'Url', 'Yar', 'Zini']"
Disney Fairies,"['Bobble', 'Clank', 'Fairy Mary', 'Fawn', 'Iridessa', 'Queen Clarion', 'Rosetta', 'Silvermist', 'Terence', 'Vidia']"
Donald Duck and the Gorilla,['Ajax the Gorilla']
Donald's Cousin Gus,['Gus Goose']
Donald's Nephews,"['Dewey', 'Huey', 'Louie']"
DuckTales,"['Babyface Beagle', 'Backwoods Beagle', 'Bacon Beagle', 'Baggy Beagle', 'Bankjob Beagle', 'Bentina Beakley', 'Bigtime Beagle', 'Binky Beagle', 'Bomber Beagle', 'Bouncer Beagle', 'Bugle Beagle', 'Burger Beagle', 'Dijon the Thief', 'Doofus Drake', 'Duckworth', 'El Capitan', 'Fenton Crackshell (Gizmoduck)', 'Flintheart Glomgold', 'Gladstone Gander', 'Glittering Goldie', 'Gyro Gearloose', 'Launchpad McQuack', 'Ma Beagle', 'Magica De Spell', 'Megabyte Beagle', 'Merlock the Magician', 'Mrs. Featherby', 'The Phantom Blot', 'Poe De Spell', 'Scrooge McDuck', 'Webby Vanderquack']"
Dumbo,"['Casey Junior', 'Catty the Elephant', 'Circus Animals', 'Dumbo', 'Giddy the Elephant', 'Jim Crow', 'Mr. Stork', 'Mrs. Jumbo', 'Prissy the Elephant', 'The Ringmaster', 'Timothy Q. Mouse']"
Enchanted,"['Giselle', 'Nancy Tremaine', 'Nathaniel', 'Pip', 'Prince Edward', 'Queen Narissa']"
Fantasia,"['Ben Ali Gator', 'Chernabog', 'Hyacinth Hippo', 'Madame Upanova', 'Melinda', 'Yen Sid']"
