,Unnamed: 0.1,Unnamed: 0,movie_title,release_date,genre,MPAA_rating,revenue,director,is_animation
0,0,0,Recess: School's Out,3901,Comedy,G,54656124,Chuck Sheetz,0
1,1,1,D2: The Mighty Ducks,3894,Comedy,PG,94226333,Sam Weisman,0
2,2,2,Home on the Range,3904,Comedy,PG,67910166,,1
3,3,3,Young Black Stallion,3903,Adventure,G,9254344,Simon Wincer,0
4,4,4,What's Love Got to Do With It,3893,Drama,R,79618610,Brian Gibson,0
5,5,5,Lady and the Tramp,3855,Drama,G,1236035515,,1
6,6,6,Corky Romano,3901,Comedy,PG-13,35705805, rob pritts,0
7,7,7,The Waterboy,3898,Comedy,PG-13,288691833,Frank Coraci,0
8,8,8,Captain America: The Winter Soldier,3914,Action,PG-13,268013076,,0
9,9,9,Pirates of the Caribbean: Dead Man’…,3906,Adventure,PG-13,544817142,,0
10,10,10,Ladder 49,3904,Action,PG-13,101161045,,0
11,11,11,Coyote Ugly,3900,Drama,PG-13,95070168,David McNally,0
12,12,12,The Sixth Man,3897,Comedy,PG-13,27117599,Randall Miller,0
13,13,13,Dick Tracy,3890,Action,PG,207231621,Warren Beatty,0
14,14,14,Sister Act 2 Back in the Habit,3893,Comedy,PG,116965668,Bill Duke,0
15,15,15,DuckTales: The Movie - Treasure of th…,3890,Adventure,G,36107823,,0
16,16,16,Blame it on the Bellboy,3892,Comedy,PG-13,5872667,Mark Herman,0
17,17,17,The Hunchback of Notre Dame,3896,Adventure,G,190988799,,1
18,18,18,Ernest Goes to Jail,3890,Comedy,PG,49999822,,0
19,19,19,Ant-Man,3915,Action,PG-13,180202163,Peyton Reed,0
20,20,20,The Shaggy Dog,3906,Comedy,PG,78667428,Brian Robbins,0
21,21,21,The Life Aquatic with Steve Zissou,3904,Comedy,R,32198655,,0
22,22,22,Bridge to Terabithia,3907,Drama,PG,100760721,,0
23,23,23,Beauty and the Beast,3891,Musical,G,363017667,Bill Condon,1
24,24,24,Miami Rhapsody,3895,Romantic Comedy,PG-13,9857435,David Frankel,0
25,25,25,A Bug's Life,3898,Adventure,G,288981698,,0
26,26,26,3 Men and a Little Lady,3890,Comedy,PG,143108869,Emile Ardolino,0
27,27,27,The Puppet Masters,3894,Horror,R,17727017,stuart orme,0
28,28,28,Signs,3902,Thriller/Suspense,PG-13,330754439,M. Night Shyamalan,0
29,29,29,Dead Presidents,3895,Drama,R,46741467,,0
30,30,30,McFarland USA,3915,Drama,PG,44480275,Niki Caro,0
31,31,31,George Of The Jungle,3897,Comedy,PG,193326632,Sam Weisman,0
32,32,32,Bound by Honor,3893,,R,9156084,Taylor Hackford,0
33,33,33,The Avengers,3912,Action,PG-13,660081224,,0
34,34,34,Ten Things I Hate About You,3899,Romantic Comedy,PG-13,63354375,Gil Junger,0
35,35,35,Earth,3909,Documentary,G,35981010,Deepa Mehta,0
36,36,36,Hello Again,3887,Comedy,,44024529,,0
37,37,37,When a Man Loves a Woman,3894,Drama,R,103354194,Luis Mandoki,0
38,38,38,Unbreakable,3900,Thriller/Suspense,PG-13,148208901,M. Night Shyamalan,0
39,39,39,3 Men and a Baby,3887,Comedy,PG,353334607,Leonard Nimoy,0
40,40,40,X Games 3D: The Movie,3909,Documentary,PG,1563976,Steve Lawrence,0
41,41,41,Cars 2,3911,Adventure,G,203522177,John Lasseter,0
42,42,42,The Princess Diaries 2: Royal Engagement,3904,Romantic Comedy,G,129164207,Garry Marshall,0
43,43,43,The Jungle Book 2,3903,Adventure,G,66966883,,0
44,44,44,Aspen Extreme,3893,Romantic Comedy,PG-13,15970955,Patrick Hasburgh,0
45,45,45,Noises Off...,3892,Comedy,PG-13,4631720,Peter Bogdanovich,0
46,46,46,He Got Game,3898,Drama,R,38766948,Spike Lee,0
47,47,47,Bringing Down the House,3903,Comedy,PG-13,185481530,Adam Shankman,0
48,48,48,Bon Voyage!,3862,Comedy,Not Rated,109581646,Jean Paul Rappeneau,0
49,49,49,Doctor Strange,3916,Adventure,PG-13,232532923,Scott Derrickson,0
50,50,50,Flubber,3897,Comedy,PG,170406423,Les Mayfield,0
