movie_title,director
Recess: School's Out,Chuck Sheetz
D2: The Mighty Ducks,Sam Weisman
Home on the Range,
Young Black Stallion,Simon Wincer
What's Love Got to Do With It,Brian Gibson
Lady and the Tramp,
Corky Romano, rob pritts
The Waterboy,Frank Coraci
Captain America: The Winter Soldier,
Pirates of the Caribbean: Dead Man’…,
Ladder 49,
Coyote Ugly,David McNally
The Sixth Man,Randall Miller
Dick Tracy,Warren Beatty
Sister Act 2 Back in the Habit,Bill Duke
DuckTales: The Movie - Treasure of th…,
Blame it on the Bellboy,Mark Herman
The Hunchback of Notre Dame,
Ernest Goes to Jail,
Ant-Man,Peyton Reed
The Shaggy Dog,Brian Robbins
The Life Aquatic with Steve Zissou,
Bridge to Terabithia,
Beauty and the Beast,Bill Condon
Miami Rhapsody,David Frankel
A Bug's Life,
3 Men and a Little Lady,Emile Ardolino
The Puppet Masters,stuart orme
Signs,M. Night Shyamalan
Dead Presidents,
"McFarland, USA",Niki Caro
George Of The Jungle,Sam Weisman
Bound by Honor,Taylor Hackford
The Avengers,
Ten Things I Hate About You,Gil Junger
Earth,Deepa Mehta
Hello Again,
When a Man Loves a Woman,Luis Mandoki
Unbreakable,M. Night Shyamalan
3 Men and a Baby,Leonard Nimoy
X Games 3D: The Movie,Steve Lawrence
Cars 2,John Lasseter
The Princess Diaries 2: Royal Engagement,Garry Marshall
The Jungle Book 2,
Aspen Extreme,Patrick Hasburgh
Noises Off...,Peter Bogdanovich
He Got Game,Spike Lee
Bringing Down the House,Adam Shankman
Bon Voyage!,Jean Paul Rappeneau
Doctor Strange,Scott Derrickson
Flubber,Les Mayfield
Roving Mars,George Butler
Captain Ron,
Shadow Conspiracy,
Good Morning Vietnam,Barry Levinson
Babes in Toyland,Clive Donner
An Innocent Man,Peter Yates
Summer of Sam,Spike Lee
The Good Dinosaur,
Angels in the Outfield,William Dear
Tough Guys,
Something Wicked This Way Comes,
The Rocketeer,Joe Johnston
Stakeout,John Badham
National Treasure 2: Book of Secrets,Jon Turteltaub
Terminal Velocity,Deran Sarafian
Apocalypto,Mel Gibson
Invincible,Ericson Core
25th Hour,Spike Lee
Mighty Joe Young,Ron Underwood
Deceived,
Never Cry Wolf,Carroll Ballard
G-Force,
Feast of July,Christopher Menaul
The Lookout,Scott Frank
Cool Runnings,Jon Turteltaub
Alice Through the Looking Glass,James Bobin
The Devil and Max Devlin,Steven Hilliard Stern
The Chronicles of Narnia: Prince Caspian,Andrew Adamson
The Insider,Michael Mann
Camp Nowhere,Jonathan Prince
The Rock,
Green Card,Peter Weir
Real Steel,Shawn Levy
A Kid in King Arthur's Court,
The Last Flight of Noah’s Ark,Charles Jarrott
African Cats,
Toy Story 3D Double Feature,John Lasseter
Into the Woods,Rob Marshall
Finding Nemo,Andrew Stanton
The Good Mother,Leonard Nimoy
The Hundred-Foot Journey,
Pearl Harbor,Michael Bay
Pirates of the Caribbean: At World’…,Gore Verbinski
Color of Night,Richard Rush
Romy and Michele's High School Reunion,David Mirkin
Cheetah,
Jack,
Monsters University,Dan Scanlon
The Fifth Estate,Bill Condon
Before and After,Barbet Schroeder
Moonlight Mile,Brad Silberling
A Stranger Among Us,Sidney Lumet
The Lizzie McGuire Movie,Jim Fall
Krippendorf's Tribe,Todd Holland
crazy/beautiful,John Stockwell
Adventures in Babysitting,Chris Columbus
The Game Plan,Andy Fickman
Splash,Ron Howard
Who Framed Roger Rabbit?,Who Framed Roger Rabbit
The Light Between Oceans,Derek Cianfrance
The Guardian,
The Sword in the Stone,
Mr. Holland's Opus,Stephen Herek
The Rescuers Down Under,Mike Gabriel
The Preacher's Wife,Penny Marshall
Sarafina!,Darrell Roodt
Trenchcoat,
Confessions of a Teenage Drama Queen,Sara Sugarman
Around the World in 80 Days,
Blaze,
Toy Story,John Lasseter
Prince of Persia: Sands of Time,Mike Newell
Eddie,
White Fang 2: Myth of the White Wolf,Ken Olin
White Squall,Ridley Scott
The Invisible,Leigh Whannell
Guilty as Sin,Sidney Lumet
Operation Dumbo Drop,Simon Wincer
Ghosts of the Abyss,James Cameron
Scenes from a Mall,Paul Mazursky
The BFG,Steven Spielberg
Tron,Joseph Kosinski
Firelight,William Nicholson
Delivery Man,Ken Scott
New York Stories,
Disorganized Crime,Jim Kouf
Tom and Huck,Peter Hewitt
Keeping the Faith,Edward Norton
Grosse Pointe Blank,
Indian Summer,Mike Binder
The Princess and the Frog,
Billy Bathgate,Robert Benton
3 Ninjas Kick Back,
My Boyfriend's Back,Bob Balaban
Goal! The Dream Begins,Danny Cannon
Country,
Big Trouble,Barry Sonnenfeld
People Like Us,Alex Kurtzman
Mars Needs Moms,Simon Wells
Angie,Martha Coolidge
Deuce Bigalow: Male Gigolo,
Veronica Guerin,Joel Schumacher
Max Keeble's Big Move,Tim Hill
The Scarlet Letter,
D3: The Mighty Ducks,Robert Lieberman
Up,Pete Docter
Alive,cho il hyung
Can't Buy Me Love,
The Hoax,
Fantasia,
Crimson Tide,Tony Scott
Ransom,Ron Howard
Pretty Woman,Garry Marshall
Inspector Gadget,
Winnie the Pooh,
The Tigger Movie,
Heavy Weights,Steven Brill
What About Bob?,Frank Oz
Condorman,Charles Jarrott
The Haunted Mansion,Rob Minkoff
The Hitchhiker's Guide to the Galaxy,Garth Jennings
Bedknobs and Broomsticks,Robert Stevenson
Pooh's Heffalump Movie,
Open Range,Kevin Costner
D.O.A.,
Meet the Deedles,Steve Boyum
A Beautiful Planet,Toni Myers
Sister Act,Emile Ardolino
Strange Magic,Gary Rydstrom
The Many Adventures of Winnie the Pooh,
Quiz Show,Robert Redford
While You Were Sleeping,
Bedtime Stories,Adam Shankman
"The Chronicles of Narnia: The Lion, t…",
Instinct,Halina Reijn
Step Up,Anne Fletcher
G.I. Jane,Ridley Scott
Oscar,Academy Award for Best Director
The Parent Trap,
Primeval,
The Lone Ranger,Gore Verbinski
"Monsters, Inc.",Pete Docter
Reign of Fire,Rob Bowman
Running Brave,
Dinosaur,
Rushmore,
Freaky Friday,Mark Waters
The 13th Warrior,John McTiernan
Brave,
Eight Below,Frank Marshall
Gake no ue no Ponyo,
Queen of Katwe,Mira Nair
Straight Talk,
Holy Man,Stephen Herek
The Sorcerer's Apprentice,Jon Turteltaub
Stella,
An American Werewolf in Paris,
The Mighty Ducks,Stephen Herek
Tall Tale,Jeremiah S. Chechik
Tangled,
Ed Wood,
The Jerky Boys,
The Rich Man's Wife,Amy Holden Jones
"20,000 Leagues Under the Sea",Richard Fleischer
Super Mario Bros.,
The Proposal,Anne Fletcher
Race to Witch Mountain,Andy Fickman
The Adventures of Huck Finn,Stephen Sommers
Jefferson in Paris,James Ivory
The Jungle Book,Jon Favreau
Sky High,Mike Mitchell
Toy Story 2,
The Rescuers,
Remember the Titans,Boaz Yakin
A Lot Like Love,Nigel Cole
3 Ninjas,
Flight of the Navigator,Randal Kleiser
America's Heart and Soul,Louie Schwartzberg
Swing Vote,Joshua Michael Stern
The Straight Story,David Lynch
The Kid,Charlie Chaplin
Enchanted,Kevin Lima
Zootopia,
I'll Be Home For Christmas,
The War at Home,
Peter Pan: Return to Neverland,Return to Never Land
Ratatouille,Brad Bird
Secretariat,Randall Wallace
Medicine Man,John McTiernan
A Thousand Acres,Jocelyn Moorhouse
Mission to Mars,Brian De Palma
Brother Bear,
Snow White and the Seven Dwarfs,
Toy Story 3,Lee Unkrich
Miracle,Gavin O'Connor
My Favorite Martian,Donald Petrie
Benji the Hunted,
A Far Off Place,Mikael Salomon
Old Dogs,Walt Becker
Alice in Wonderland,Tim Burton
The Little Mermaid,
Stick It,Jessica Bendinger
Funny Bones,Peter Chelsom
Cars,John Lasseter
Bicentennial Man,Chris Columbus
Chimpanzee,
The Apple Dumpling Gang,
The Other Sister,Garry Marshall
A Simple Twist of Fate,Gillies MacKinnon
Where the Heart Is,Matt Williams
Kaze Tachinu,Hayao Miyazaki
Off Beat,Michael Dinner
The Greatest Game Ever Played,Bill Paxton
The Three Musketeers,Paul W. S. Anderson
A Civil Action,Steven Zaillian
Walt and El Grupo,Theodore Thomas
Powder,Victor Salva
1492: Conquest of Paradise,Ridley Scott
The Cemetery Club,Bill Duke
Stay Alive,William Brent Bell
That Darn Cat,Robert Stevenson
The Muppet Christmas Carol,Brian Henson
Step Up 2 the Streets,Jon M. Chu
Fantasia 2000 (Theatrical Release),
The Santa Clause 2,Michael Lembeck
The Recruit,Roger Donaldson
Money for Nothing,
Bad Company,Joel Schumacher
I Love Trouble,Charles Shyer
The Absent Minded Professor,Robert Stevenson
Jungle 2 Jungle,John Pasquin
Tex,
Life With Mikey,James Lapine
Gone Fishin',Christopher Cain
Rogue One: A Star Wars Story,Gareth Edwards
The Marrying Man,
Bubble Boy,blair hayes
Baby: Secret of the Lost Legend,bill l norton
The Fox and the Hound,
High Heels and Low Lifes,Mel Smith
The Tie That Binds,Wesley Strick
John Carter,Andrew Stanton
Blank Check,
Guardians of the Galaxy,James Gunn
Star Wars Ep. VII: The Force Awakens,J. J. Abrams
A Goofy Movie,Kevin Lima
Hocus Pocus,Kenny Ortega
Pete’s Dragon,David Lowery
Night Crossing,Delbert Mann
Lilo & Stitch,
Metro,Ananda Krishnan
National Treasure,Jon Turteltaub
Shanghai Noon,Tom Dey
Dangerous Minds,john n smith
The Distinguished Gentleman,Jonathan Lynn
The Secret World of Arietty,Hiromasa Yonebayashi
The Princess Diaries,Garry Marshall
Step Up 3D,Jon M. Chu
Underdog,Frederik Du Chau
Red Rock West,John Dahl
Captain America: Civil War,
Mr. Wrong,Nick Castle
Nixon,Oliver Stone
The Ref,
The Santa Clause 3: The Escape Clause,Michael Lembeck
Ice Princess,Tim Fywell
King Arthur,Antoine Fuqua
Nothing To Lose,Steve Oedekerk
Herbie: Fully Loaded,Angela Robinson
Father of the Bride,Charles Shyer
You Again,Andy Fickman
Treasure Planet,
The Great Mouse Detective,
Cinderella,Kay Cannon
Frozen,
Pirates of the Caribbean: On Stranger…,Rob Marshall
Zokkomon,satyajit bhatkal
Gross Anatomy,
The Incredibles,Brad Bird
Frank McKlusky C.I.,
Taking Care of Business,Arthur Hiller
Tim Burton's The Nightmare Before Chr…,Henry Selick
Cocktail,Homi Adajania
Gun Shy,Simon West
Mr. Destiny,
Herbie Goes to Monte Carlo,Vincent McEveety
Evita,Alan Parker
Dark Water,
Piglet's Big Movie,
Kazaam,Paul Michael Glaser
Déjà Vu,Tony Scott
Waking Sleeping Beauty,Don Hahn
The Count of Monte Cristo,Kevin Reynolds
The Program,
When in Rome,Mark Steven Johnson
Born Yesterday,George Cukor
The Alamo,John Lee Hancock
Mad Love,Karl Freund
Armageddon,Michael Bay
Air Bud,Charles Martin Smith
Fire Birds,
The Black Cauldron,
Oz the Great and Powerful,Sam Raimi
Two Much,Fernando Trueba
102 Dalmatians,Kevin Lima
