movie_title,release_date,MPAA_rating,MovieSuccessLevel,genre_Comedy,genre_Drama,director_Donald Petrie,director_Tim Robbins,director_Wolfgang Reitherman,voice-actor_0,voice-actor_Ben Wright,voice-actor_Betty Lou Gerson,voice-actor_Cate Bauer,voice-actor_David Frankham,voice-actor_Frederick Worlock; J. Pat O'Malley,voice-actor_J. Pat O'Malley,voice-actor_Lisa Davis,voice-actor_Rod Taylor,genre_Adventure,genre_Documentary,genre_Musical,director_Clyde Geronimi,director_David Hand,director_Jim Kammerud,director_Kenneth Branagh,director_Norm Ferguson,director_Rich Moore,voice-actor_None
The Associate,0.0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101 Dalmatians,0.0,2,3,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101 Dalmatians,0.0,2,3,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101 Dalmatians,0.0,2,3,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
101 Dalmatians,0.0,2,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101 Dalmatians,0.0,2,3,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101 Dalmatians,0.0,2,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101 Dalmatians,0.0,2,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101 Dalmatians,0.0,2,3,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cradle Will Rock,1.0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
